Date,Holiday Name,Type
Feb 04,Shab e-Barat,National Holiday
Feb 10,Bangladesh Parliamentary Polls,National Holiday
Feb 11,Bangladesh Parliamentary Polls,National Holiday
Feb 12,Bangladesh Parliamentary Polls,National Holiday
Feb 21,Language Martyrs' Day,National Holiday
Mar 17,Shab-e-Qadr,National Holiday
Mar 18,Eid al-Fitr Holiday,National Holiday
Mar 19,Eid al-Fitr Holiday,National Holiday
Mar 20,Jumatul Bidah,National Holiday
Mar 20,Eid al-Fitr Holiday,National Holiday
Mar 21,Eid al-Fitr,National Holiday
Mar 22,Eid al-Fitr Holiday,National Holiday
Mar 23,Eid al-Fitr Holiday,National Holiday
Mar 26,Independence Day,National Holiday
Apr 14,Bengali New Year,National Holiday
May 01,Labour Day,National Holiday
May 01,Buddha Purnima,National Holiday
May 26,Eid-ul-Azha Holiday,National Holiday
May 28,Eid-ul-Azha,National Holiday
May 29,Eid-ul-Azha Holiday,National Holiday
May 30,Eid-ul-Azha Holiday,National Holiday
May 31,Eid-ul-Azha Holiday,National Holiday
Jun 02,Eid-ul-Azha Holiday,National Holiday
Jun 26,Ashura,National Holiday
Aug 05,July Mass Uprising Day,National Holiday
Aug 26,Eid-e-Miladunnabi,National Holiday
Sep 04,Janmashtami,National Holiday
Oct 20,Navami of Durga Puja,National Holiday
Oct 21,Durga Puja,National Holiday
Dec 16,Victory Day,National Holiday
Dec 25,Christmas Day,National Holiday
